种子ID,恒星数量,光度立方和
50980865,64,56.47353305
50980865,63,56.47353305
50980865,62,56.47353305
91533420,58,56.23166068
91533420,57,56.23166068
91533420,56,56.23166068
31252757,61,55.53625596
31252757,60,55.53625596
31252757,59,55.53625596
95225765,55,55.42495011
95225765,54,55.42495011
95225765,53,55.42495011
14845267,61,55.18190154
14845267,60,55.18190154
14845267,59,55.18190154
95889621,61,54.91369434
95889621,60,54.91369434
95889621,59,54.91369434
16402934,57,54.52013233
16402934,56,54.52013233
16402934,55,54.52013233
40530916,61,54.40717783
40530916,60,54.40717783
32292150,58,54.37126763
32292150,57,54.37126763
32292150,56,54.37126763
32292150,55,54.37126763
85700143,64,54.18804507
85700143,63,54.18804507
85700143,62,54.18804507
36618633,55,54.07429175
36618633,54,54.07429175
36618633,53,54.07429175
36618633,52,54.07429175
49007253,64,53.96481481
49007253,63,53.96481481
49007253,62,53.96481481
36691734,61,53.81765488
36691734,60,53.81765488
36691734,59,53.81765488
36691734,58,53.81765488
86482386,61,53.75134764
86482386,60,53.75134764
86482386,59,53.75134764
33471869,58,53.58282912
33471869,57,53.58282912
17086994,55,53.46900547
46539255,58,53.41275347
46539255,57,53.41275347
46539255,56,53.41275347
91207604,64,53.33764492
91207604,63,53.33764492
91207604,62,53.33764492
86967486,61,53.27228918
86967486,60,53.27228918
86967486,59,53.27228918
42682309,58,53.2521602
70865893,58,53.23251147
66180840,64,53.22680817
60188451,64,53.22103687
60188451,63,53.22103687
60188451,62,53.22103687
66941256,61,52.82668212
68661416,58,52.76324756
68661416,57,52.76324756
68661416,56,52.76324756
28277132,64,52.69532748
28277132,63,52.69532748
28277132,62,52.69532748
71052759,61,52.68635126
71052759,60,52.68635126
71052759,59,52.68635126
17887976,60,52.55672093
17887976,59,52.55672093
17887976,58,52.55672093
19029344,55,52.55165149
19029344,54,52.55165149
19029344,53,52.55165149
19029344,52,52.55165149
62478215,48,52.47268637
62478215,47,52.47268637
67297569,64,52.43528307
80845368,61,52.37840085
84310243,55,52.310962
84310243,54,52.310962
84310243,53,52.310962
4478651,52,52.24714461
4478651,51,52.24714461
4478651,50,52.24714461
40627350,55,52.1595905
40627350,54,52.1595905
22595612,64,52.10449832
22595612,63,52.10449832
22595612,62,52.10449832
51970075,61,52.07844344
51970075,60,52.07844344
51970075,59,52.07844344
57183094,51,52.04857745
23510970,55,51.99190551
23510970,54,51.99190551
23510970,53,51.99190551
